"email","start_time","end_time","usage_type","accelerator_type","accelerator_seconds","base_model_name","model_bucket","parameter_count","prompt_tokens","completion_tokens","cached_prompt_tokens","uncached_prompt_tokens"
"[REDACTED]","2026-08-19 02:19:56 UTC","2026-08-19 02:19:56 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","255162","4270","254564","598"
"[REDACTED]","2026-08-19 02:20:32 UTC","2026-08-19 02:20:32 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","259457","130","255161","4296"
"[REDACTED]","2026-08-19 02:20:37 UTC","2026-08-19 02:20:37 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","259601","5534","259456","145"
"[REDACTED]","2026-08-19 00:37:01 UTC","2026-08-19 00:37:01 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-flash-0731","DeepSeek V4 Flash 0731","304000000000","9105","5","0","9105"
"[REDACTED]","2026-08-19 00:37:01 UTC","2026-08-19 00:37:01 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-flash-0731","DeepSeek V4 Flash 0731","304000000000","531","86","0","531"
"[REDACTED]","2026-08-19 00:37:09 UTC","2026-08-19 00:37:09 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","9102","4","0","9102"
"[REDACTED]","2026-08-19 00:37:08 UTC","2026-08-19 00:37:08 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","609","74","0","609"
"[REDACTED]","2026-08-19 01:51:41 UTC","2026-08-19 01:51:41 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","78568","21431","75456","3112"
"[REDACTED]","2026-08-19 01:54:03 UTC","2026-08-19 01:54:03 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","100026","3096","78567","21459"
"[REDACTED]","2026-08-19 01:54:32 UTC","2026-08-19 01:54:32 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","103161","2346","100025","3136"
"[REDACTED]","2026-08-19 01:54:54 UTC","2026-08-19 01:54:54 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","105546","1237","103160","2386"
"[REDACTED]","2026-08-19 01:55:06 UTC","2026-08-19 01:55:06 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","106810","1101","105545","1265"
"[REDACTED]","2026-08-19 02:15:40 UTC","2026-08-19 02:15:40 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","224131","7860","221543","2588"
"[REDACTED]","2026-08-19 02:16:50 UTC","2026-08-19 02:16:50 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","232520","392","224130","8390"
"[REDACTED]","2026-08-19 02:16:57 UTC","2026-08-19 02:16:57 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","232926","187","232519","407"
"[REDACTED]","2026-08-19 02:17:04 UTC","2026-08-19 02:17:04 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","233437","9668","232925","512"
"[REDACTED]","2026-08-19 02:18:29 UTC","2026-08-19 02:18:29 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","243283","298","233436","9847"
"[REDACTED]","2026-08-19 02:24:00 UTC","2026-08-19 02:24:00 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","267567","2745","265142","2425"
"[REDACTED]","2026-08-19 02:24:23 UTC","2026-08-19 02:24:23 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","270337","332","267566","2771"
